run,seed,val_MSE,val_RMSE,val_MAE,epochs,time
80,346,6171.37973445239,78.55812965220335,75.01421780056424,10,3.9300949573516846
81,145,16870.936753598424,129.8881701834252,127.44558987087673,10,4.03863000869751
82,847,2391.074413566143,48.898613615992666,46.230450575086806,10,3.992337703704834
83,358,12070.493109171715,109.86579590196266,108.20502888997396,10,3.9445512294769287
84,412,1834.1256951211387,42.82669372156971,41.121925048828125,10,4.378381967544556
85,2892,5678.663016963312,75.35690424216823,73.0345598687066,10,4.44212007522583
86,26,9772.327945253037,98.85508558113253,96.0517815483941,10,4.378013849258423
87,163,1311.524264786836,36.21497293643661,32.94676307508681,10,3.9856560230255127
88,974,19895.818801630016,141.0525391534304,139.61237013075086,10,4.379304885864258
89,295,4603.5324531360675,67.84933642369738,65.57104749891494,10,4.0817649364471436
90,288,5884.466769002611,76.71027811840217,74.63489108615451,10,4.236319065093994
91,2794,1727.573899690069,41.56409387548427,39.08850635850695,10,4.011873245239258
92,111,3762.4775657210675,61.3390378610642,59.462062445746525,10,4.117405891418457
93,60,2238.2378858012753,47.310018873398,42.89675123697916,10,4.091644763946533
94,399,17466.112259440895,132.15941986646618,129.58043470594617,10,4.0268449783325195
95,624,1277.1757063253558,35.73759513908785,33.91093777126736,10,4.160735130310059
96,1127,60454.81554317259,245.87560989893362,244.58590698242188,10,4.058026075363159
97,1716,9458.544740489195,97.25504994852038,95.04593410915798,10,3.9879209995269775
98,1348,2057.2844271854765,45.35729739728191,42.98599200846354,10,4.0028040409088135
99,252,60521.51608232316,246.01121129396353,244.72453538682726,10,4.003740072250366
100,848,6695.0790927540265,81.82346297214526,79.20424140082466,10,5.566671133041382
101,1403,1154.61343340418,33.97960319668521,31.022207980685764,10,3.9186391830444336
102,198,4270.19611782287,65.34673762188034,63.056600206163196,10,4.045716762542725
103,87,59545.980909110316,244.02045182547778,242.72322313096788,10,3.9831790924072266
104,7518,17669.270580913548,132.9258085584344,131.02653449164495,10,3.932223081588745
105,133,15103.509955059873,122.89633824919225,119.60106865776909,10,4.241322994232178
106,123,8546.453556693448,92.44703108641968,90.0556396484375,10,4.026479005813599
107,9786,5584.007505434127,74.72621698864548,73.38263251410591,10,4.363277196884155
108,53,522.094594523522,22.849389368723227,20.451368505859378,10,4.139785051345825
109,41,4771.960700103275,69.07937970265276,66.63597954644098,10,3.940474033355713
110,5361,7210.688676921697,84.91577401709118,83.43644002278646,10,3.9468982219696045
111,107,3321.741105684604,57.63454784835745,51.303566422526046,10,4.340357780456543
112,81,10374.482132552599,101.85520179427557,99.72804741753473,10,4.267187833786011
113,4117,20734.903812602995,143.99619374345627,142.69082377115885,10,3.953932046890259
114,10,2792.5284392536587,52.84437944808945,50.306890478515626,10,3.9094951152801514
115,16,1025.8314185748493,32.02860313180781,28.044417485894098,10,4.095746040344238
116,4466,1821.9443787788668,42.68424040297387,40.63136325412327,10,4.0575480461120605
117,68,11359.142017902008,106.57927574299802,105.35187649197049,10,3.9514718055725098
118,119,2838.4833852141537,53.27741909302809,50.48007771809896,10,3.9553401470184326
119,2554,17783.54260337051,133.3549496770574,130.84193155924478,10,4.0510828495025635
120,89,23746.188331261055,154.09798289160392,152.477903781467,10,4.049687147140503
121,153,7305.106279543885,85.4699144702034,82.13353936089409,10,4.055210113525391
122,3902,11708.983169142137,108.20805501043874,106.7490311686198,10,3.961221218109131
123,31,21513.438355805047,146.67460024082237,144.61220323350693,10,4.085603713989258
124,86,480.13233525986703,21.9119222173653,17.43515000542535,10,3.966994285583496
125,5785,1828.5683872797072,42.761763145124256,38.808789035373266,10,3.9312891960144043
126,45,12660.032279425697,112.51680887505519,111.47697930230035,10,6.012287855148315
127,77,5779.719694419985,76.02446773519684,75.23617363823784,10,3.9581971168518066
128,3274,1192.0018680069068,34.525380055937205,32.066595019531256,10,3.924630880355835
129,146,9047.345042670193,95.11753278271148,93.93045600043403,10,4.188889741897583
130,169,59966.97750426443,244.88155811384496,243.58891526963976,10,3.9534831047058105
131,33159,8944.379274600795,94.5747285198366,93.56645141601562,10,3.960930109024048
132,167,13906.243058789227,117.92473472002906,116.46312581380208,10,3.908782958984375
133,132,5766.831166695785,75.93965477071768,74.1769231499566,10,4.0210771560668945
134,3438,2241.0339925214644,47.33956054423683,45.42195393880208,10,3.970644950866699
